"Index","ask_open","ask_high","ask_low","ask_close","bid_open","bid_high","bid_low","bid_close"
2010-01-03 22:15:00,1.4309,1.4338,1.43085,1.4326,1.43065,1.4337,1.43065,1.4325
2010-01-03 23:00:00,1.4326,1.4335,1.43165,1.4317,1.4325,1.4334,1.4316,1.4316
2010-01-04 00:00:00,1.4317,1.43205,1.4289,1.42895,1.4316,1.432,1.4288,1.4289
2010-01-04 01:00:00,1.42895,1.429,1.42575,1.42715,1.4289,1.4289,1.4257,1.42705
2010-01-04 02:00:00,1.42715,1.43005,1.4271,1.42955,1.42705,1.43,1.427,1.42945
2010-01-04 03:00:00,1.42955,1.4298,1.4273,1.4286,1.42945,1.4297,1.4272,1.42855
2010-01-04 04:00:00,1.4286,1.42995,1.42835,1.42905,1.42855,1.4299,1.4283,1.429
2010-01-04 05:00:00,1.42905,1.4309,1.4289,1.43015,1.429,1.43085,1.4288,1.4301
2010-01-04 06:00:00,1.43015,1.431,1.4281,1.4296,1.4301,1.43095,1.428,1.42955
2010-01-04 07:00:00,1.4296,1.4308,1.427,1.4305,1.42955,1.43075,1.42695,1.4304
2010-01-04 08:00:00,1.4305,1.43395,1.43005,1.43375,1.4304,1.4339,1.43,1.4337
2010-01-04 09:00:00,1.43375,1.4397,1.43365,1.4395,1.4337,1.43965,1.4336,1.43945
2010-01-04 10:00:00,1.4395,1.44005,1.4375,1.4376,1.43945,1.44,1.43745,1.43755
2010-01-04 11:00:00,1.4376,1.4417,1.43755,1.43895,1.43755,1.44165,1.4375,1.4389
2010-01-04 12:00:00,1.43895,1.4405,1.4387,1.4397,1.4389,1.44045,1.43865,1.43965
2010-01-04 13:00:00,1.4397,1.4434,1.4388,1.44225,1.43965,1.44335,1.43875,1.4422
2010-01-04 14:00:00,1.44225,1.4451,1.44195,1.44245,1.4422,1.44505,1.4419,1.4424
2010-01-04 15:00:00,1.44245,1.44565,1.4404,1.4439,1.4424,1.4456,1.4403,1.44385
2010-01-04 16:00:00,1.4439,1.44415,1.44175,1.4418,1.44385,1.4441,1.4417,1.44175
2010-01-04 17:00:00,1.4418,1.4422,1.4413,1.44145,1.44175,1.44215,1.4412,1.4414
2010-01-04 18:00:00,1.44145,1.4429,1.4411,1.4413,1.4414,1.44285,1.44105,1.44125
2010-01-04 19:00:00,1.4413,1.44275,1.4412,1.4412,1.44125,1.4427,1.4411,1.44115
2010-01-04 20:00:00,1.4412,1.44225,1.4408,1.4412,1.44115,1.4422,1.44075,1.4411
