"Index","ask_open","ask_high","ask_low","ask_close","bid_open","bid_high","bid_low","bid_close"
2010-01-03 22:15:00,1.6112,1.61365,1.61105,1.6127,1.611,1.61345,1.61085,1.6125
2010-01-03 23:00:00,1.6127,1.61535,1.6123,1.6141,1.6125,1.6152,1.6121,1.6139
2010-01-04 00:00:00,1.6141,1.61485,1.6108,1.61225,1.6139,1.61465,1.6106,1.6121
2010-01-04 01:00:00,1.61225,1.6123,1.6091,1.6092,1.6121,1.6121,1.609,1.609
2010-01-04 02:00:00,1.6092,1.612,1.60895,1.61125,1.609,1.61185,1.6087,1.6112
2010-01-04 03:00:00,1.61125,1.6113,1.6072,1.6089,1.6112,1.6112,1.6071,1.6088
2010-01-04 04:00:00,1.6089,1.6103,1.60835,1.6092,1.6088,1.61015,1.6082,1.609
2010-01-04 05:00:00,1.6092,1.6102,1.6086,1.6096,1.609,1.61,1.6084,1.60945
2010-01-04 06:00:00,1.6096,1.61085,1.60745,1.6089,1.60945,1.6108,1.6073,1.6088
2010-01-04 07:00:00,1.6089,1.6112,1.6059,1.6099,1.6088,1.6111,1.6058,1.60985
2010-01-04 08:00:00,1.6099,1.6159,1.60925,1.6153,1.60985,1.61585,1.60915,1.61525
2010-01-04 09:00:00,1.6153,1.6214,1.6153,1.6206,1.61525,1.6213,1.6152,1.62045
2010-01-04 10:00:00,1.6206,1.6242,1.6169,1.61765,1.62045,1.6241,1.6168,1.6175
2010-01-04 11:00:00,1.61765,1.62285,1.61765,1.6222,1.6175,1.6227,1.6175,1.6221
2010-01-04 12:00:00,1.6222,1.6225,1.61395,1.6149,1.6221,1.6224,1.61385,1.6148
2010-01-04 13:00:00,1.6149,1.6179,1.61425,1.61635,1.6148,1.6178,1.6142,1.6162
2010-01-04 14:00:00,1.61635,1.61965,1.6155,1.61675,1.6162,1.6195,1.6154,1.6167
2010-01-04 15:00:00,1.61675,1.6191,1.6116,1.6121,1.6167,1.61905,1.61155,1.61195
2010-01-04 16:00:00,1.6121,1.6133,1.6086,1.6108,1.61195,1.6132,1.6085,1.61065
2010-01-04 17:00:00,1.6108,1.6127,1.61065,1.6126,1.61065,1.61255,1.6105,1.61255
2010-01-04 18:00:00,1.6126,1.6132,1.60995,1.60995,1.61255,1.613,1.60975,1.6099
2010-01-04 19:00:00,1.60995,1.6123,1.60935,1.6095,1.6099,1.6121,1.6092,1.6093
2010-01-04 20:00:00,1.6095,1.6107,1.6093,1.61025,1.6093,1.61055,1.60915,1.61005
2010-01-04 21:00:00,1.61025,1.61025,1.6086,1.60865,1.61005,1.61015,1.6085,1.6085
2010-01-04 22:15:00,1.60965,1.6099,1.609,1.60915,1.60935,1.6097,1.6088,1.60905
2010-01-04 23:00:00,1.60915,1.6114,1.60855,1.6114,1.60905,1.6113,1.6085,1.61125
2010-01-05 00:00:00,1.6114,1.6138,1.61045,1.61065,1.61125,1.61365,1.61025,1.61055
2010-01-05 01:00:00,1.61065,1.61075,1.60685,1.60805,1.61055,1.61055,1.6067,1.6079
2010-01-05 02:00:00,1.60805,1.60985,1.6071,1.60955,1.6079,1.6097,1.607,1.6094
2010-01-05 03:00:00,1.60955,1.61005,1.60865,1.60885,1.6094,1.6099,1.6085,1.6087
2010-01-05 04:00:00,1.60885,1.61175,1.6087,1.6089,1.6087,1.6117,1.6086,1.6088
2010-01-05 05:00:00,1.6089,1.6141,1.60795,1.6134,1.6088,1.61395,1.6079,1.61325
2010-01-05 06:00:00,1.6134,1.6153,1.6114,1.61525,1.61325,1.61525,1.6113,1.6151
2010-01-05 07:00:00,1.61525,1.6155,1.6092,1.6101,1.6151,1.61535,1.60915,1.61
2010-01-05 08:00:00,1.6101,1.6105,1.6028,1.6045,1.61,1.6104,1.6027,1.6044
2010-01-05 09:00:00,1.6045,1.6085,1.60375,1.6052,1.6044,1.60845,1.6037,1.6051
2010-01-05 10:00:00,1.6052,1.60555,1.59945,1.6002,1.6051,1.60545,1.5993,1.60005
2010-01-05 11:00:00,1.6002,1.6027,1.59895,1.60135,1.60005,1.60255,1.5988,1.6013
2010-01-05 12:00:00,1.60135,1.6055,1.6012,1.6038,1.6013,1.60545,1.6011,1.6036
2010-01-05 13:00:00,1.6038,1.6048,1.6007,1.6039,1.6036,1.60465,1.60055,1.60375
2010-01-05 14:00:00,1.6039,1.6051,1.6017,1.6047,1.60375,1.60495,1.6016,1.60455
2010-01-05 15:00:00,1.6047,1.60715,1.60225,1.6033,1.60455,1.607,1.6022,1.60315
2010-01-05 16:00:00,1.6033,1.60505,1.59875,1.6009,1.60315,1.6049,1.5986,1.6007
2010-01-05 17:00:00,1.6009,1.6012,1.5988,1.6005,1.6007,1.60115,1.59865,1.6003
2010-01-05 18:00:00,1.6005,1.60055,1.59665,1.59775,1.6003,1.6004,1.59655,1.5975
2010-01-05 19:00:00,1.59775,1.6003,1.5975,1.60015,1.5975,1.6002,1.59735,1.6
2010-01-05 20:00:00,1.60015,1.60075,1.5995,1.5997,1.6,1.6006,1.5993,1.5995
2010-01-05 21:00:00,1.5997,1.6006,1.599,1.59935,1.5995,1.6004,1.5989,1.5992
2010-01-05 22:15:00,1.5997,1.59975,1.5986,1.5988,1.59925,1.59955,1.59855,1.5987
2010-01-05 23:00:00,1.5988,1.5992,1.59715,1.59915,1.5987,1.59915,1.59705,1.5989
2010-01-06 00:00:00,1.59915,1.59935,1.59465,1.59665,1.5989,1.5992,1.59445,1.5965
2010-01-06 01:00:00,1.59665,1.6006,1.5959,1.5993,1.5965,1.6005,1.5958,1.5992
2010-01-06 02:00:00,1.5993,1.5999,1.59785,1.5987,1.5992,1.59975,1.59765,1.59845
2010-01-06 03:00:00,1.5987,1.59905,1.5976,1.59815,1.59845,1.5988,1.5975,1.598
2010-01-06 04:00:00,1.59815,1.5988,1.59765,1.59815,1.598,1.5987,1.59755,1.5979
2010-01-06 05:00:00,1.59815,1.59845,1.59565,1.5965,1.5979,1.5983,1.59545,1.59635
2010-01-06 06:00:00,1.5965,1.59855,1.59515,1.5975,1.59635,1.5984,1.5951,1.5973
2010-01-06 07:00:00,1.5975,1.60305,1.596,1.60185,1.5973,1.60285,1.5959,1.6017
2010-01-06 08:00:00,1.60185,1.6065,1.6011,1.6042,1.6017,1.60635,1.60095,1.60405
2010-01-06 09:00:00,1.6042,1.6063,1.6005,1.60245,1.60405,1.60615,1.6004,1.60225
2010-01-06 10:00:00,1.60245,1.6028,1.5987,1.6012,1.60225,1.60265,1.5986,1.60105
2010-01-06 11:00:00,1.6012,1.60145,1.598,1.5984,1.60105,1.6013,1.5979,1.59825
2010-01-06 12:00:00,1.5984,1.59925,1.5961,1.5967,1.59825,1.5992,1.596,1.5966
2010-01-06 13:00:00,1.5967,1.5992,1.59645,1.59705,1.5966,1.59915,1.5963,1.5969
2010-01-06 14:00:00,1.59705,1.59875,1.5939,1.595,1.5969,1.5986,1.59375,1.59485
2010-01-06 15:00:00,1.595,1.6002,1.59445,1.6001,1.59485,1.60005,1.59435,1.59995
2010-01-06 16:00:00,1.6001,1.60445,1.59965,1.6015,1.59995,1.60425,1.5995,1.6014
2010-01-06 17:00:00,1.6015,1.60165,1.59835,1.5997,1.6014,1.60155,1.59815,1.5995
2010-01-06 18:00:00,1.5997,1.59975,1.59745,1.5993,1.5995,1.5996,1.5973,1.5991
2010-01-06 19:00:00,1.5993,1.60265,1.5993,1.59985,1.5991,1.6025,1.5991,1.5997
2010-01-06 20:00:00,1.59985,1.6024,1.59985,1.6023,1.5997,1.60225,1.5997,1.6021
2010-01-06 21:00:00,1.6023,1.6033,1.60075,1.602,1.6021,1.60325,1.6006,1.60165
2010-01-06 22:15:00,1.60265,1.60265,1.6004,1.6009,1.6022,1.6022,1.6003,1.60085
2010-01-06 23:00:00,1.6009,1.6024,1.60075,1.60225,1.60085,1.6023,1.60055,1.602
2010-01-07 00:00:00,1.60225,1.606,1.6021,1.6034,1.602,1.60585,1.6019,1.6032
2010-01-07 01:00:00,1.6034,1.6034,1.6013,1.60275,1.6032,1.6032,1.6012,1.60255
2010-01-07 02:00:00,1.60275,1.60275,1.59995,1.6003,1.60255,1.60255,1.5998,1.6001
2010-01-07 03:00:00,1.6003,1.6017,1.5995,1.60145,1.6001,1.60155,1.59935,1.6012
2010-01-07 04:00:00,1.60145,1.6021,1.6005,1.6005,1.6012,1.6019,1.60025,1.6003
2010-01-07 05:00:00,1.6005,1.6007,1.597,1.5976,1.6003,1.6005,1.5968,1.59745
2010-01-07 06:00:00,1.5976,1.6002,1.59575,1.597,1.59745,1.6001,1.5956,1.5968
2010-01-07 07:00:00,1.597,1.59855,1.5932,1.5954,1.5968,1.59845,1.59315,1.59525
2010-01-07 08:00:00,1.5954,1.5971,1.5913,1.59245,1.59525,1.597,1.5912,1.59225
2010-01-07 09:00:00,1.59245,1.59535,1.5919,1.5936,1.59225,1.5952,1.5918,1.5935
